"","cov","position","name","totalBp","type","norm"
"1",143.582417582418,1,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",1.9395766265194e-07
"2",171.05994005994,1002,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",2.31075550238331e-07
"3",135.959040959041,2003,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",1.83659658646423e-07
"4",110.533466533467,3004,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",1.49313635851977e-07
"5",174.741258741259,4005,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",2.36048443012584e-07
"6",157.633366633367,5006,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",2.12938323946344e-07
"7",146.559440559441,6007,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",1.97979160743467e-07
"8",155.771228771229,7008,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",2.10422863395134e-07
"9",158.94005994006,8009,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",2.14703464719403e-07
"10",129.343656343656,9010,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",1.74723296108808e-07
"11",93.8841158841159,10011,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",1.26822935451512e-07
"12",126.470529470529,11012,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",1.70842145601684e-07
"13",73.1848151848152,12013,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",9.88613782513658e-08
"14",48.3356643356643,13014,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",6.52940146511519e-08
"15",63.5184815184815,14015,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",8.58036549179385e-08
"16",61.4095904095904,15016,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",8.29548688537731e-08
"17",61.2797202797203,16017,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",8.27794343732702e-08
"18",49.9470529470529,17018,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",6.7470751705391e-08
"19",51.024975024975,18019,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",6.89268578935647e-08
"20",48.4185814185814,19020,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",6.54060228194729e-08
"21",34.3206793206793,20021,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",4.6361935212887e-08
"22",35.6773226773227,21022,"WbD-20-sg-1_S2_L001.Fg_only.bam",740277108,"SG-20ng",4.81945507861398e-08
